Hip,2.65,-9.41,0.58
Kne,-1.29,-9.8,0.48
Ank,0.66,-9.83,-0.43
Hip,2.65,-9.41,0.58
Kne,-1.29,-9.8,0.48
Ank,0.66,-9.83,-0.43
Hip,2.65,-9.41,0.58
Kne,-1.29,-9.8,0.48
Ank,0.66,-9.83,-0.43
Hip,2.75,-9.92,0.22
Kne,-1.29,-9.8,0.48
Ank,0.66,-9.83,-0.43
Hip,2.75,-9.92,0.22
Kne,-3.44,-9.59,0.3
Ank,0.75,-9.77,-0.54
Hip,2.75,-9.92,0.22
Kne,-3.44,-9.59,0.3
Ank,0.75,-9.77,-0.54
Hip,2.75,-9.92,0.22
Kne,-3.44,-9.59,0.3
Ank,0.75,-9.77,-0.54
Hip,2.81,-9.6,0.54
Kne,-3.44,-9.59,0.3
Ank,0.75,-9.77,-0.54
Hip,2.81,-9.6,0.54
Kne,-3.7,-9.2,0.12
Ank,0.81,-9.89,-0.4
Hip,2.81,-9.6,0.54
Kne,-3.7,-9.2,0.12
Ank,0.81,-9.89,-0.4
Hip,2.81,-9.6,0.54
Kne,-3.7,-9.2,0.12
Ank,0.81,-9.89,-0.4
Hip,2.25,-9.86,0.2
Kne,-3.7,-9.2,0.12
Ank,0.81,-9.89,-0.4
Hip,2.25,-9.86,0.2
Kne,-3.6,-9.31,-0.13
Ank,0.82,-9.65,-0.61
Hip,2.25,-9.86,0.2
Kne,-3.6,-9.31,-0.13
Ank,0.82,-9.65,-0.61
Hip,2.25,-9.86,0.2
Kne,-3.6,-9.31,-0.13
Ank,0.82,-9.65,-0.61
Hip,2.03,-10,0.18
Kne,-3.6,-9.31,-0.13
Ank,0.82,-9.65,-0.61
Hip,2.03,-10,0.18
Kne,-3.59,-9.32,-0.41
Ank,0.83,-9.82,-0.37
Hip,2.03,-10,0.18
Kne,-3.59,-9.32,-0.41
Ank,0.83,-9.82,-0.37
Hip,2.03,-10,0.18
Kne,-3.59,-9.32,-0.41
Ank,0.83,-9.82,-0.37
Hip,1.37,-10.22,1.01
Kne,-3.59,-9.32,-0.41
Ank,0.83,-9.82,-0.37
Hip,1.37,-10.22,1.01
Kne,-3.99,-9.5,-0.17
Ank,0.81,-9.59,-0.66
Hip,1.37,-10.22,1.01
Kne,-3.99,-9.5,-0.17
Ank,0.81,-9.59,-0.66
Hip,1.37,-10.22,1.01
Kne,-3.99,-9.5,-0.17
Ank,0.81,-9.59,-0.66
Hip,1.2,-10.1,0.11
Kne,-3.99,-9.5,-0.17
Ank,0.81,-9.59,-0.66
Hip,1.2,-10.1,0.11
Kne,-4.3,-9.11,-0.64
Ank,0.84,-9.77,-0.4
Hip,1.2,-10.1,0.11
Kne,-4.3,-9.11,-0.64
Ank,0.84,-9.77,-0.4
Hip,1.2,-10.1,0.11
Kne,-4.3,-9.11,-0.64
Ank,0.84,-9.77,-0.4
Hip,1.66,-10.24,-0.26
Kne,-4.3,-9.11,-0.64
Ank,0.84,-9.77,-0.4
Hip,1.66,-10.24,-0.26
Kne,-3.72,-9.17,-1.16
Ank,0.83,-9.59,-0.47
Hip,1.66,-10.24,-0.26
Kne,-3.72,-9.17,-1.16
Ank,0.83,-9.59,-0.47
Hip,1.66,-10.24,-0.26
Kne,-3.72,-9.17,-1.16
Ank,0.83,-9.59,-0.47
Hip,1.74,-10.43,-3.4
Kne,-3.72,-9.17,-1.16
Ank,0.83,-9.59,-0.47
Hip,1.74,-10.43,-3.4
Kne,-4.99,-9.83,-3.1
Ank,0.77,-10.23,0.23
Hip,1.74,-10.43,-3.4
Kne,-4.99,-9.83,-3.1
Ank,0.77,-10.23,0.23
Hip,1.74,-10.43,-3.4
Kne,-4.99,-9.83,-3.1
Ank,0.77,-10.23,0.23
Hip,1.25,-10.12,-1.09
Kne,-4.99,-9.83,-3.1
Ank,0.77,-10.23,0.23
Hip,1.25,-10.12,-1.09
Kne,-3.03,-9.7,-0.44
Ank,0.81,-9.9,-0.17
Hip,1.25,-10.12,-1.09
Kne,-3.03,-9.7,-0.44
